sea_key,Hs_m,Tp_s,direction_deg,wave_type,case,heave_option,pitch_option,roll_option,response,status,mean,std,rms,max_abs,ptp,amplitude,minimum,maximum
Hs4_Tp8_Dirmodel,4.0,8.0,,Dean stream,case_21,quadhigh,low,quadhigh,roll,ok,-0.0019493045903760937,0.02350864227705399,0.023589320678996918,0.05499102361148295,0.10735316477434484,0.05367658238717242,-0.05499102361148295,0.0523621411628619
Hs4_Tp8_Dirmodel,4.0,8.0,,Dean stream,case_22,quadhigh,linhigh,low,heave,ok,-0.38509291543517166,1.1646708256320069,1.226684427877317,2.358598232269287,3.4870208501815796,1.7435104250907898,-2.358598232269287,1.1284226179122925
Hs4_Tp8_Dirmodel,4.0,8.0,,Dean stream,case_22,quadhigh,linhigh,low,pitch,ok,-0.6254276662703314,9.009607985016373,9.031289819810189,13.12594677332327,25.659419886151184,12.829709943075592,-13.12594677332327,12.533473112827915
Hs4_Tp8_Dirmodel,4.0,8.0,,Dean stream,case_22,quadhigh,linhigh,low,roll,ok,-0.002317813419285346,0.024296701265428586,0.02440700619551891,0.052316904499823784,0.09603745230517786,0.04801872615258893,-0.052316904499823784,0.04372054780535408
Hs4_Tp8_Dirmodel,4.0,8.0,,Dean stream,case_23,quadhigh,linhigh,linhigh,heave,ok,-0.38512458744808825,1.1647051876558274,1.2267269957123532,2.3587090969085693,3.487290382385254,1.743645191192627,-2.3587090969085693,1.1285812854766846
Hs4_Tp8_Dirmodel,4.0,8.0,,Dean stream,case_23,quadhigh,linhigh,linhigh,pitch,ok,-0.6256305542517139,9.009042403384996,9.030739649464058,13.1152686263296,25.637474488347934,12.818737244173967,-13.1152686263296,12.522205862018332
Hs4_Tp8_Dirmodel,4.0,8.0,,Dean stream,case_23,quadhigh,linhigh,linhigh,roll,ok,-0.0014485841853739906,0.028192874248832912,0.028230064728098334,0.06022457935677919,0.11643166679016201,0.058215833395081004,-0.06022457935677919,0.05620708743338281
Hs4_Tp8_Dirmodel,4.0,8.0,,Dean stream,case_24,quadhigh,linhigh,quadhigh,heave,ok,-0.38496001860907025,1.1644598947391853,1.2264424415289492,2.358954906463623,3.4876866340637207,1.7438433170318604,-2.358954906463623,1.1287317276000977
Hs4_Tp8_Dirmodel,4.0,8.0,,Dean stream,case_24,quadhigh,linhigh,quadhigh,pitch,ok,-0.6257152987057911,9.015575112560397,9.03726254156937,13.124920537400476,25.655333725480226,12.827666862740113,-13.124920537400476,12.530413188079748
Hs4_Tp8_Dirmodel,4.0,8.0,,Dean stream,case_24,quadhigh,linhigh,quadhigh,roll,ok,-0.002362012940977492,0.018747256304974872,0.018895468348198337,0.05200992618325006,0.08357612901519332,0.04178806450759666,-0.05200992618325006,0.03156620283194325
Hs4_Tp8_Dirmodel,4.0,8.0,,Dean stream,case_25,quadhigh,quadhigh,low,heave,ok,-0.3850704254833958,1.1650831675311393,1.227068873310034,2.358731985092163,3.4853172302246094,1.7426586151123047,-2.358731985092163,1.1265852451324463
Hs4_Tp8_Dirmodel,4.0,8.0,,Dean stream,case_25,quadhigh,quadhigh,low,pitch,ok,-0.6336980555026671,8.918240837736585,8.94072664079494,12.966864837364502,25.27692758508318,12.63846379254159,-12.966864837364502,12.310062747718675
Hs4_Tp8_Dirmodel,4.0,8.0,,Dean stream,case_25,quadhigh,quadhigh,low,roll,ok,-0.002382563875188068,0.025210214888819835,0.025322550135399566,0.0696035496651174,0.13750610208242398,0.06875305104121199,-0.0696035496651174,0.06790255241730656
Hs4_Tp8_Dirmodel,4.0,8.0,,Dean stream,case_26,quadhigh,quadhigh,linhigh,heave,ok,-0.384994068281253,1.1649253091435374,1.2268950274962063,2.358825922012329,3.485379457473755,1.7426897287368774,-2.358825922012329,1.1265535354614258
Hs4_Tp8_Dirmodel,4.0,8.0,,Dean stream,case_26,quadhigh,quadhigh,linhigh,pitch,ok,-0.6338112775895758,8.917297316247213,8.939793518977352,12.967301969471382,25.27986285887899,12.639931429439494,-12.967301969471382,12.312560889407607
Hs4_Tp8_Dirmodel,4.0,8.0,,Dean stream,case_26,quadhigh,quadhigh,linhigh,roll,ok,-0.003371125490166707,0.02829906788941732,0.02849915315373954,0.07811680016626311,0.13953316749193018,0.06976658374596509,-0.07811680016626311,0.061416367325667076
Hs4_Tp8_Dirmodel,4.0,8.0,,Dean stream,case_27,quadhigh,quadhigh,quadhigh,heave,ok,-0.3850478438841302,1.1650302998795259,1.2270115898870702,2.3587396144866943,3.485485315322876,1.742742657661438,-2.3587396144866943,1.1267457008361816
Hs4_Tp8_Dirmodel,4.0,8.0,,Dean stream,case_27,quadhigh,quadhigh,quadhigh,pitch,ok,-0.6337786360301447,8.916900004550039,8.9393948928679,12.964779922120355,25.26996847609258,12.63498423804629,-12.964779922120355,12.305188553972224
Hs4_Tp8_Dirmodel,4.0,8.0,,Dean stream,case_27,quadhigh,quadhigh,quadhigh,roll,ok,-0.001910428292552828,0.016712093994496243,0.01682093403892494,0.04058291631516625,0.07539288537369698,0.03769644268684849,-0.04058291631516625,0.03480996905853073
Hs5_Tp8_Dirmodel,5.0,8.0,,Dean stream,case_01,low,low,low,heave,ok,-0.42089692680932556,1.475869467290662,1.5347132981369378,3.0800833702087402,4.389350533485413,2.1946752667427063,-3.0800833702087402,1.3092671632766724
